,Sp
430,[0.6657131612300873]
431,[0.6657131612300873]
432,[0.39074063301086426]
433,[0.39074063301086426]
434,[0.9402119852602482]
435,[0.9402119852602482]
436,[0.8116271048784256]
437,[0.8116271048784256]
438,[1.0]
439,[1.0]
440,[1.0]
441,[1.0]
442,[1.0]
443,[1.0]
444,[0.6310562491416931]
445,[0.6310562491416931]
446,[0.8089002966880798]
447,[0.8089002966880798]
448,[1.0]
449,[1.0]
450,[0.5844096839427948]
451,[0.5844096839427948]
452,[1.0]
453,[1.0]
454,[0.8256669193506241]
455,[0.8256669193506241]
456,[0.7637961953878403]
457,[0.7637961953878403]
458,[1.0]
459,[1.0]
460,[1.0]
461,[1.0]
462,[1.0]
463,[1.0]
464,[0.8393678218126297]
465,[0.8393678218126297]
466,[1.0]
467,[1.0]
468,[0.5792437195777893]
469,[0.5792437195777893]
470,[1.0]
471,[1.0]
472,[0.34674084186553955]
473,[0.34674084186553955]
474,[0.6884142160415649]
475,[0.6884142160415649]
476,[0.9829705879092216]
477,[0.9829705879092216]
478,[0.6721058189868927]
479,[0.6721058189868927]
480,[1.0]
481,[1.0]
482,[1.0]
483,[1.0]
484,[1.0]
485,[1.0]
486,[1.0]
487,[1.0]
488,[0.4886968731880188]
489,[0.4886968731880188]
490,[1.0]
491,[1.0]
492,[0.24567699432373047]
493,[0.24567699432373047]
494,[1.0]
495,[1.0]
496,[1.0]
497,[1.0]
498,[0.9461754187941551]
499,[0.9461754187941551]
500,[1.0]
501,[1.0]
502,[0.20866823196411133]
503,[0.20866823196411133]
504,[0.7235916256904602]
505,[0.7235916256904602]
506,[0.23628336191177368]
507,[0.23628336191177368]
508,[0.4972071051597595]
509,[0.4972071051597595]
510,[1.0]
511,[1.0]
512,[1.0]
513,[1.0]
514,[0.688446044921875]
515,[0.688446044921875]
516,[0.9863782757893205]
517,[0.9863782757893205]
518,[0.9962517353706062]
519,[0.9962517353706062]
520,[0.8088259696960449]
521,[0.8088259696960449]
522,[0.08720314502716064]
523,[0.08720314502716064]
524,[1.0]
525,[1.0]
526,[0.25673115253448486]
527,[0.25673115253448486]
528,[1.0]
529,[1.0]
530,[0.6821797788143158]
531,[0.6821797788143158]
532,[1.0]
533,[1.0]
534,[1.0]
535,[1.0]
536,[0.7794165015220642]
537,[0.7794165015220642]
538,[0.9105295389890671]
539,[0.9105295389890671]
540,[1.0]
541,[1.0]
542,[1.0]
543,[1.0]
544,[1.0]
545,[1.0]
546,[0.7324315309524536]
547,[0.7324315309524536]
548,[0.9675321727991104]
549,[0.9675321727991104]
550,[1.0]
551,[1.0]
552,[0.9353256747126579]
553,[0.9353256747126579]
554,[1.0]
555,[1.0]
556,[0.1683715581893921]
557,[0.1683715581893921]
558,[0.5593879520893097]
559,[0.5593879520893097]
560,[0.5597369074821472]
561,[0.5597369074821472]
562,[1.0]
563,[1.0]
564,[0.4204593896865845]
565,[0.4204593896865845]
566,[1.0]
567,[1.0]
568,[0.7794865369796753]
569,[0.7794865369796753]
570,[0.5639758110046387]
571,[0.5639758110046387]
572,[0.9251502528786659]
573,[0.9251502528786659]
574,[0.6308690011501312]
575,[0.6308690011501312]
576,[0.6153174042701721]
577,[0.6153174042701721]
578,[1.0]
579,[1.0]
580,[0.034683167934417725]
581,[0.034683167934417725]
582,[1.0]
583,[1.0]
584,[0.3409765362739563]
585,[0.3409765362739563]
586,[1.0]
587,[1.0]
588,[0.9200292527675629]
589,[0.9200292527675629]
590,[0.8498528152704239]
591,[0.8498528152704239]
592,[1.0]
593,[1.0]
594,[0.919593557715416]
595,[0.919593557715416]
596,[0.49920380115509033]
597,[0.49920380115509033]
598,[0.6946930885314941]
599,[0.6946930885314941]
600,[0.9602866396307945]
601,[0.9602866396307945]
602,[1.0]
603,[1.0]
604,[0.9722550231963396]
605,[0.9722550231963396]
606,[0.10510760545730591]
607,[0.10510760545730591]
608,[0.65294548869133]
609,[0.65294548869133]
610,[1.0]
611,[1.0]
612,[1.0]
613,[1.0]
614,[0.9860513713210821]
615,[0.9860513713210821]
616,[0.9771289266645908]
617,[0.9771289266645908]
618,[0.9674269184470177]
619,[0.9674269184470177]
620,[1.0]
621,[1.0]
622,[0.2718939185142517]
623,[0.2718939185142517]
624,[1.0]
625,[1.0]
626,[0.6962270736694336]
627,[0.6962270736694336]
628,[0.01891946792602539]
